time,P_success_CRW,P_success_CRN_kappa_0,P_success_CRN_kappa_1,P_success_CRN_kappa_10
9.624060150375939315e+00,2.625338800003022555e-01,1.889467654637655425e-01,3.922731254749162177e-01,1.067761665496247403e-01
9.674185463659147999e+00,2.640631431955738351e-01,1.889489595673715661e-01,3.942051497065106602e-01,1.076566471470157271e-01
9.724310776942354906e+00,2.655895156064666529e-01,1.889504944924613739e-01,3.961313197104593398e-01,1.085372248687911378e-01
9.774436090225563589e+00,2.671129947779770641e-01,1.889596075268629161e-01,3.980516152938431418e-01,1.094178832353310815e-01
9.824561403508770496e+00,2.686335784984134056e-01,1.889789180823152615e-01,3.999660217952144547e-01,1.102986060730870577e-01
9.874686716791979180e+00,2.701512647922025279e-01,1.890064744435273614e-01,4.018745308585307541e-01,1.111793775081115765e-01
9.924812030075187863e+00,2.716660519129028284e-01,1.890374740362056327e-01,4.037771408132377893e-01,1.120601819597544235e-01
9.974937343358394770e+00,2.731779383364114633e-01,1.890662692557689706e-01,4.056738566431044024e-01,1.129410041345276783e-01
1.002506265664160345e+01,2.746869227543643488e-01,1.890882458393855492e-01,4.075646895583351359e-01,1.138218290201326033e-01
1.007518796992481214e+01,2.761930040677227916e-01,1.891012117564527806e-01,4.094496562194687161e-01,1.147026418796431857e-01
1.012531328320801904e+01,2.776961813805392532e-01,1.891060500307667480e-01,4.113287776927616601e-01,1.155834282458324536e-01
1.017543859649122773e+01,2.791964539939004730e-01,1.891065460005052490e-01,4.132020782404518533e-01,1.164641739156614397e-01
1.022556390977443641e+01,2.806938214000412324e-01,1.891084685318165093e-01,4.150695840616144272e-01,1.173448649448930459e-01
1.027568922305764332e+01,2.821882832766228755e-01,1.891181343344664478e-01,4.169313220981440971e-01,1.182254876428544543e-01
1.032581453634085200e+01,2.836798394811751445e-01,1.891407875183850340e-01,4.187873190055982908e-01,1.191060285673285479e-01
1.037593984962405891e+01,2.851684900456927241e-01,1.891791644318905341e-01,4.206376003622378512e-01,1.199864745195722282e-01
1.042606516290726759e+01,2.866542351713859960e-01,1.892325801766497895e-01,4.224821901554123293e-01,1.208668125394688486e-01
1.047619047619047628e+01,2.881370752235786203e-01,1.892967745350156994e-01,4.243211105473398970e-01,1.217470299007904488e-01
1.052631578947368318e+01,2.896170107267498905e-01,1.893646095992089773e-01,4.261543818876664114e-01,1.226271141065871095e-01
1.057644110275689187e+01,2.910940423597168647e-01,1.894275457250007566e-01,4.279820229126531927e-01,1.235070528846824445e-01
1.062656641604009877e+01,2.925681709509508344e-01,1.894776666679812704e-01,4.298040510539986592e-01,1.243868341832878865e-01
1.067669172932330746e+01,2.940393974740291849e-01,1.895099072150664421e-01,4.316204827759057006e-01,1.252664461667176710e-01
1.072681704260651614e+01,2.955077230432126001e-01,1.895240788250518449e-01,4.334313338668939197e-01,1.261458772112107329e-01
1.077694235588972305e+01,2.969731489091484988e-01,1.895263017363721936e-01,4.352366196310268887e-01,1.270251159008539688e-01
1.082706766917293173e+01,2.984356764546957641e-01,1.895295342957689089e-01,4.370363549482474408e-01,1.279041510236009760e-01
1.087719298245614041e+01,2.998953071908666557e-01,1.895530284532519483e-01,4.388305542011468052e-01,1.287829715673872721e-01
1.092731829573934732e+01,3.013520427528845747e-01,1.896207113588191939e-01,4.406192310913479293e-01,1.296615667163395491e-01
1.097744360902255600e+01,3.028058848963514627e-01,1.897586681068118564e-01,4.424023983889815437e-01,1.305399258470714141e-01
1.102756892230576469e+01,3.042568354935253905e-01,1.899920506187734448e-01,4.441800676707103879e-01,1.314180385250643956e-01
1.107769423558897159e+01,3.057048965297008425e-01,1.903418375449429378e-01,4.459522491041839620e-01,1.322958945011399878e-01
1.112781954887218028e+01,3.071500700996942501e-01,1.908219035708076383e-01,4.477189513299029144e-01,1.331734837080069678e-01
1.117794486215538718e+01,3.085923584044267809e-01,1.914368185001550371e-01,4.494801814768807358e-01,1.340507962568873168e-01
1.122807017543859587e+01,3.100317637476032728e-01,1.921806936651198061e-01,4.512359453288781186e-01,1.349278224342287391e-01
1.127819548872180455e+01,3.114682885324870365e-01,1.930372427870428176e-01,4.529862476365358326e-01,1.358045526984800189e-01
1.132832080200501146e+01,3.129019352587654179e-01,1.939810509497403856e-01,4.547310925507039858e-01,1.366809776769464246e-01
1.137844611528822014e+01,3.143327065195019032e-01,1.949798765078588625e-01,4.564704841364023435e-01,1.375570881627143915e-01
1.142857142857142705e+01,3.157606049981758201e-01,1.959976726092721444e-01,4.582044269171022810e-01,1.384328751116420397e-01
