generation,p_transport,modular_cost,mass_modular,mass_global,top1_strategy,top1_mass,top2_strategy,top2_mass,top3_strategy,top3_mass
106,0.5,0.05,0.9985967721705511,0.001403227829449056,"M(0.5,0.01)",0.9809770960390382,"M(0.5,0.05)",0.004329131723329672,"M(1,0.01)",0.0007332150160559366
107,0.5,0.05,0.9985967772073714,0.0014032227926284741,"M(0.5,0.01)",0.981105834166014,"M(0.5,0.05)",0.004200560103471595,"M(1,0.01)",0.000733164336591355
108,0.5,0.05,0.9985967819663938,0.0014032180336063461,"M(0.5,0.01)",0.9812274730021974,"M(0.5,0.05)",0.004079078140540645,"M(1,0.01)",0.0007331168383181625
109,0.5,0.05,0.9985967864628814,0.0014032135371185002,"M(0.5,0.01)",0.9813424024659725,"M(0.5,0.05)",0.003964296514948275,"M(1,0.01)",0.0007330722878732394
110,0.5,0.05,0.9985967907112664,0.0014032092887335944,"M(0.5,0.01)",0.981450991227115,"M(0.5,0.05)",0.0038558471123017433,"M(1,0.01)",0.0007330304735235412
111,0.5,0.05,0.9985967947251915,0.0014032052748082645,"M(0.5,0.01)",0.9815535878470711,"M(0.5,0.05)",0.0037533818871337077,"M(1,0.01)",0.0007329912026458646
112,0.5,0.05,0.9985967985175551,0.0014032014824446356,"M(0.5,0.01)",0.981650521859901,"M(0.5,0.05)",0.0036565717854929927,"M(1,0.01)",0.0007329542995466203
113,0.5,0.05,0.9985968021005498,0.001403197899450068,"M(0.5,0.01)",0.9817421047967829,"M(0.5,0.05)",0.0035651057235689923,"M(1,0.01)",0.0007329196035724617
114,0.5,0.05,0.9985968054857007,0.0014031945142990302,"M(0.5,0.01)",0.9818286311568478,"M(0.5,0.05)",0.0034786896196330767,"M(1,0.01)",0.0007328869674699164
115,0.5,0.05,0.998596808683903,0.0014031913160969954,"M(0.5,0.01)",0.9819103793270005,"M(0.5,0.05)",0.003397045476689957,"M(1,0.01)",0.0007328562559583742
116,0.5,0.05,0.9985968117054538,0.0014031882945462462,"M(0.5,0.01)",0.9819876124532683,"M(0.5,0.05)",0.0033199105133397415,"M(1,0.01)",0.000732827344486063
117,0.5,0.05,0.9985968145600864,0.0014031854399135007,"M(0.5,0.01)",0.9820605792660982,"M(0.5,0.05)",0.003247036340457062,"M(1,0.01)",0.0007328001181431265
118,0.5,0.05,0.9985968172570008,0.0014031827429992637,"M(0.5,0.01)",0.982129514861933,"M(0.5,0.05)",0.0031781881813969415,"M(1,0.01)",0.0007327744707097417
119,0.5,0.05,0.9985968198048911,0.001403180195108809,"M(0.5,0.01)",0.9821946414432697,"M(0.5,0.05)",0.00311314413353765,"M(1,0.01)",0.0007327503038204452
120,0.5,0.05,0.9985968222119751,0.0014031777880247189,"M(0.5,0.01)",0.982256169019326,"M(0.5,0.05)",0.0030516944690686496,"M(1,0.01)",0.0007327275262286089
121,0.5,0.05,0.9985968244860188,0.0014031755139808887,"M(0.5,0.01)",0.982314296069317,"M(0.5,0.05)",0.002993640973026565,"M(1,0.01)",0.0007327060531573462
