trial,T_env,recall,leakage,selectivity,t_end,p_in,p_out,epsilon,N,seed
45,0.1,0.3756059646702055,0.6227201355149442,0.60316977603367,100.0,0.3,0.02,3.0,150,1
45,1.0,0.22139550545952233,0.7058671105702884,0.3136504055000539,100.0,0.3,0.02,3.0,150,1
45,inf,0.2666666666666694,0.6666666666666735,0.39999999999999997,100.0,0.3,0.02,3.0,150,1
46,0.1,0.6957113509476618,0.30428792669718446,2.2863587080140935,100.0,0.3,0.02,3.0,150,1
46,1.0,0.3274990571713186,0.6357416838998228,0.5151448543728405,100.0,0.3,0.02,3.0,150,1
46,inf,0.2666666666666674,0.6666666666666684,0.4,100.0,0.3,0.02,3.0,150,1
47,0.1,0.30850472543646457,0.6780044413081812,0.4550187382861646,100.0,0.3,0.02,3.0,150,1
47,1.0,0.298095787164282,0.6061724244309096,0.4917673175980284,100.0,0.3,0.02,3.0,150,1
47,inf,0.2666666666666658,0.6666666666666643,0.4000000000000001,100.0,0.3,0.02,3.0,150,1
48,0.1,0.2575797391471939,0.2170294078402121,1.1868425653026569,100.0,0.3,0.02,3.0,150,1
48,1.0,0.21265407210025272,0.669422534854173,0.31766793172951263,100.0,0.3,0.02,3.0,150,1
48,inf,0.26666666666667027,0.6666666666666754,0.4000000000000002,100.0,0.3,0.02,3.0,150,1
49,0.1,0.6434873494511912,0.15513951591354685,4.147797842876997,100.0,0.3,0.02,3.0,150,1
49,1.0,0.3209853128522626,0.6184629702299321,0.5190049013491086,100.0,0.3,0.02,3.0,150,1
49,inf,0.26666666666666816,0.6666666666666705,0.3999999999999999,100.0,0.3,0.02,3.0,150,1
50,0.1,0.6248267201516357,0.37517316153288166,1.6654355487442654,100.0,0.3,0.02,3.0,150,1
50,1.0,0.2852360034170868,0.6942277613162416,0.4108680454902656,100.0,0.3,0.02,3.0,150,1
50,inf,0.26666666666665284,0.6666666666666319,0.40000000000000013,100.0,0.3,0.02,3.0,150,1
51,0.1,0.6256105062924628,0.2040468161584549,3.0660145454396006,100.0,0.3,0.02,3.0,150,1
51,1.0,0.2829414451316283,0.6796955184373471,0.41627675548328513,100.0,0.3,0.02,3.0,150,1
51,inf,0.26666666666666816,0.6666666666666705,0.3999999999999999,100.0,0.3,0.02,3.0,150,1
52,0.1,0.422268791327878,0.575461545812662,0.7337915007536316,100.0,0.3,0.02,3.0,150,1
52,1.0,0.24311198228293912,0.7197949768416166,0.3377517072287563,100.0,0.3,0.02,3.0,150,1
