trial,epsilon,T_env,recall,leakage,selectivity,N,cluster_sizes,p_in,p_out,eps_values,t_end,n_trials,seed,bootstrap_B
9,0.5,0.1,0.31056841954331527,0.6246204920932167,0.49721138431200695,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
9,1.0,0.1,0.3394859579700117,0.6201415800850097,0.5474329876791596,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
9,2.0,0.1,0.6253146786547248,0.3581317093586621,1.7460466703005177,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
9,3.0,0.1,0.7597252248182671,0.23625930474734316,3.2156414987791524,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
9,4.0,0.1,0.7794350141717137,0.21972778671368043,3.5472755896247574,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
9,5.0,0.1,0.7841895249176626,0.21558046167827805,3.637572342190961,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
9,8.0,0.1,0.7968159929650664,0.1947593584770741,4.091284748500867,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
10,0.0,0.1,0.2666666666666694,0.6666666666666735,0.39999999999999997,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
10,0.5,0.1,0.18553682499305263,0.7364991996839878,0.2519172119571366,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
10,1.0,0.1,0.15840297440553638,0.7739524959817207,0.20466756710256487,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
10,2.0,0.1,0.302901508323099,0.6308183893767857,0.48017228638871673,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
10,3.0,0.1,0.5878579099360883,0.35712075392731457,1.6461040235587543,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
10,4.0,0.1,0.7409411926006605,0.22926866811525912,3.231759484153198,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
10,5.0,0.1,0.7811362721084055,0.2051510476494059,3.807615320801739,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
10,8.0,0.1,0.7922857562854401,0.20651099672234505,3.836530590914109,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
11,0.0,0.1,0.26666666666665984,0.6666666666666498,0.3999999999999999,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
11,0.5,0.1,0.21961123811516947,0.7038371224935727,0.3120199703833822,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
11,1.0,0.1,0.2112680800361353,0.6894184338446117,0.30644390933671073,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
11,2.0,0.1,0.380917800667438,0.349702840176209,1.0892613868263132,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
11,3.0,0.1,0.4588716447737922,0.3020087710765712,1.519398404020028,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
11,4.0,0.1,0.48516035697185095,0.2888462927858347,1.6796488966246608,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
11,5.0,0.1,0.4952660717004072,0.28028188561456063,1.7670284706928565,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
11,8.0,0.1,0.5073814043133678,0.26631093660982724,1.9052218086587012,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
12,0.0,0.1,0.2666666666666615,0.6666666666666536,0.4000000000000001,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
12,0.5,0.1,0.32546198244148544,0.6071038710627651,0.5360894534764673,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
12,1.0,0.1,0.3162507185949256,0.5574220570205117,0.5673451823656278,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
12,2.0,0.1,0.4203905041397043,0.17010877657669987,2.4713040243996796,150,"(50, 50, 50)",0.3,0.02,"(0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 5.0, 8.0)",100.0,100,1,5000
